Date,Time,Currency,Event,Impact,Actual,Forecast,Previous
2017-01-01,9:00am,CNY,Manufacturing PMI,High,51.4,51.6,51.7
2017-01-01,9:00am,CNY,Non-Manufacturing PMI,Medium,54.5,,54.7
2017-01-02,All Day,NZD,Bank Holiday,Low,,,
2017-01-02,All Day,AUD,Bank Holiday,Low,,,
2017-01-02,All Day,JPY,Bank Holiday,Low,,,
2017-01-02,All Day,CNY,Bank Holiday,Low,,,
2017-01-02,All Day,CHF,Bank Holiday,Low,,,
2017-01-02,All Day,GBP,Bank Holiday,Low,,,
2017-01-02,4:15pm,EUR,Spanish Manufacturing PMI,Medium,55.3,54.6,54.5
2017-01-02,4:45pm,EUR,Italian Manufacturing PMI,Non-economic,53.2,52.3,52.2
2017-01-02,4:50pm,EUR,French Final Manufacturing PMI,Non-economic,53.5,53.5,53.5
2017-01-02,4:55pm,EUR,German Final Manufacturing PMI,Non-economic,55.6,55.5,55.5
2017-01-02,5:00pm,EUR,Final Manufacturing PMI,Non-economic,54.9,54.9,54.9
2017-01-02,All Day,CAD,Bank Holiday,Low,,,
2017-01-02,All Day,USD,Bank Holiday,Low,,,
2017-01-03,All Day,NZD,Bank Holiday,Low,,,
2017-01-03,6:30am,AUD,AIG Manufacturing Index,Non-economic,55.4,,54.2
2017-01-03,All Day,JPY,Bank Holiday,Low,,,
2017-01-03,9:45am,CNY,Caixin Manufacturing PMI,High,51.9,50.9,50.9
2017-01-03,1:33pm,AUD,Commodity Prices y/y,Non-economic,45.5%,,28.7%
2017-01-03,All Day,EUR,German Prelim CPI m/m,Medium,0.7%,0.6%,0.1%
2017-01-03,3:45pm,EUR,French Prelim CPI m/m,Non-economic,0.3%,0.5%,0.0%
2017-01-03,4:30pm,CHF,Manufacturing PMI,Non-economic,56.0,56.1,56.6
2017-01-03,4:55pm,EUR,German Unemployment Change,Medium,-17K,-5K,-6K
2017-01-03,5:30pm,GBP,Final Manufacturing PMI,High,56.1,53.3,53.6
2017-01-03,10:09pm,NZD,GDT Price Index,High,-3.9%,,-0.5%
2017-01-03,10:30pm,CAD,Manufacturing PMI,Non-economic,51.8,,51.5
2017-01-03,10:45pm,USD,Final Manufacturing PMI,Non-economic,54.3,54.2,54.2
2017-01-03,11:00pm,USD,ISM Manufacturing PMI,High,54.7,53.7,53.2
2017-01-03,11:00pm,USD,Construction Spending m/m,Non-economic,0.9%,0.5%,0.6%
2017-01-03,11:00pm,USD,ISM Manufacturing Prices,Non-economic,65.5,55.6,54.5
2017-01-04,8:01am,GBP,BRC Shop Price Index y/y,Non-economic,-1.4%,,-1.7%
2017-01-04,8:30am,JPY,Final Manufacturing PMI,Non-economic,52.4,51.9,51.9
2017-01-04,4:00pm,EUR,Spanish Unemployment Change,Medium,-86.8K,-44.2K,24.8K
2017-01-04,4:15pm,EUR,Spanish Services PMI,Non-economic,55.0,54.8,55.1
2017-01-04,4:45pm,EUR,Italian Services PMI,Non-economic,52.3,52.7,53.3
2017-01-04,4:50pm,EUR,French Final Services PMI,Non-economic,52.9,52.6,52.6
2017-01-04,4:55pm,EUR,German Final Services PMI,Non-economic,54.3,53.8,53.8
2017-01-04,5:00pm,EUR,Final Services PMI,Non-economic,53.7,53.1,53.1
2017-01-04,5:30pm,GBP,Construction PMI,High,54.2,52.6,52.8
2017-01-04,5:30pm,GBP,Net Lending to Individuals m/m,Medium,5.1B,4.9B,4.9B
2017-01-04,5:30pm,GBP,M4 Money Supply m/m,Non-economic,0.4%,1.4%,1.1%
2017-01-04,5:30pm,GBP,Mortgage Approvals,Non-economic,68K,69K,67K
2017-01-04,6:00pm,EUR,Core CPI Flash Estimate y/y,Medium,0.9%,0.8%,0.8%
2017-01-04,6:00pm,EUR,CPI Flash Estimate y/y,Medium,1.1%,1.0%,0.6%
2017-01-04,6:00pm,EUR,Italian Prelim CPI m/m,Non-economic,0.4%,0.3%,-0.1%
2017-01-04,All Day,USD,Wards Total Vehicle Sales,Non-economic,18.3M,17.7M,17.6M
2017-01-05,All Day,USD,Total Vehicle Sales,Non-economic,18.4M,17.8M,17.9M
2017-01-05,3:00am,USD,FOMC Meeting Minutes,High,,,
2017-01-05,6:30am,AUD,AIG Services Index,Non-economic,57.7,,51.1
2017-01-05,7:50am,JPY,Monetary Base y/y,Non-economic,23.1%,22.3%,21.5%
2017-01-05,9:45am,CNY,Caixin Services PMI,Medium,53.4,53.3,53.1
2017-01-05,11:45am,JPY,10-y Bond Auction,Non-economic,0.06|3.6,,0.03|3.8
2017-01-05,4:15pm,CHF,CPI m/m,Non-economic,-0.1%,-0.1%,-0.2%
2017-01-05,5:10pm,EUR,Retail PMI,Non-economic,50.4,,48.6
2017-01-05,5:30pm,GBP,Final Services PMI,High,56.2,54.8,55.2
2017-01-05,5:50pm,EUR,Spanish 10-y Bond Auction,Non-economic,1.45|1.4,,1.54|2.0
2017-01-05,6:00pm,EUR,PPI m/m,Non-economic,0.3%,0.2%,0.8%
2017-01-05,6:00pm,EUR,Italian Prelim CPI m/m,Non-economic,,,
2017-01-05,6:03pm,EUR,French 10-y Bond Auction,Non-economic,0.78|2.0,,0.46|2.0
2017-01-05,8:30pm,USD,Challenger Job Cuts y/y,Non-economic,42.4%,,-13.0%
2017-01-05,9:00pm,GBP,MPC Member Haldane Speaks,Medium,,,
2017-01-05,9:15pm,USD,ADP Non-Farm Employment Change,High,153K,171K,215K
2017-01-05,9:30pm,CAD,RMPI m/m,Medium,-2.0%,-1.5%,3.3%
2017-01-05,9:30pm,CAD,IPPI m/m,Non-economic,0.3%,0.2%,0.7%
2017-01-05,9:30pm,USD,Unemployment Claims,High,235K,262K,263K
2017-01-05,10:45pm,USD,Final Services PMI,Non-economic,53.9,53.4,53.4
2017-01-05,11:00pm,USD,ISM Services PMI,High,57.2,56.6,57.2
2017-01-05,11:30pm,USD,Natural Gas Storage,Non-economic,-49B,-97B,-237B
2017-01-06,12:00am,USD,Crude Oil Inventories,High,-7.1M,-1.8M,0.6M
2017-01-06,8:00am,JPY,Average Cash Earnings y/y,Non-economic,0.2%,0.2%,0.1%
2017-01-06,8:30am,AUD,Goods Trade Balance,Medium,1.24B,-0.55B,-1.12B
2017-01-06,3:00pm,EUR,German Factory Orders m/m,Medium,-2.5%,-2.5%,5.0%
2017-01-06,3:00pm,EUR,German Retail Sales m/m,Medium,-1.8%,-0.8%,2.5%
2017-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2017-01-06,3:45pm,EUR,French Trade Balance,Non-economic,-4.4B,-4.8B,-5.2B
2017-01-06,4:00pm,CHF,Foreign Currency Reserves,Non-economic,645B,,648B
