Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2018-01-01,All Day,CHF,Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,EUR,French Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,EUR,German Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,GBP,Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,CAD,Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,USD,Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,All Day,NZD,Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,5:30pm,AUD,AIG Manufacturing Index,Non-economic,56.2,,57.3,2018-01-01 17:30:00
2018-01-01,All Day,JPY,Bank Holiday,Low,,,,2018-01-01 00:00:00
2018-01-01,8:45pm,CNY,RatingDog Manufacturing PMI,Medium,51.5,50.7,50.8,2018-01-01 20:45:00
2018-01-02,12:30am,AUD,Commodity Prices y/y,Non-economic,-5.9%,,-4.0%,2018-01-02 00:30:00
2018-01-02,All Day,CHF,Bank Holiday,Low,,,,2018-01-02 00:00:00
2018-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,55.8,56.4,56.1,2018-01-02 03:15:00
2018-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,57.4,58.6,58.3,2018-01-02 03:45:00
2018-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,58.8,59.3,59.3,2018-01-02 03:50:00
2018-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,63.3,63.3,63.3,2018-01-02 03:55:00
2018-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,60.6,60.6,60.6,2018-01-02 04:00:00
2018-01-02,4:30am,GBP,Final Manufacturing PMI,High,56.3,58.0,58.2,2018-01-02 04:30:00
2018-01-02,4:36am,GBP,Housing Equity Withdrawal q/q,Non-economic,-5.9B,-6.2B,-5.8B,2018-01-02 04:36:00
2018-01-02,9:25am,NZD,GDT Price Index,Medium,2.2%,,-3.9%,2018-01-02 09:25:00
2018-01-02,9:30am,CAD,Manufacturing PMI,Non-economic,54.7,,54.4,2018-01-02 09:30:00
2018-01-02,9:45am,USD,Final Manufacturing PMI,Non-economic,55.1,55.0,55.0,2018-01-02 09:45:00
2018-01-02,All Day,JPY,Bank Holiday,Low,,,,2018-01-02 00:00:00
2018-01-03,3:00am,EUR,Spanish Unemployment Change,Medium,-61.5K,-58.7K,7.3K,2018-01-03 03:00:00
2018-01-03,3:30am,CHF,Manufacturing PMI,Non-economic,65.2,64.6,65.1,2018-01-03 03:30:00
2018-01-03,3:55am,EUR,German Unemployment Change,Non-economic,-29K,-13K,-20K,2018-01-03 03:55:00
2018-01-03,4:30am,GBP,Construction PMI,High,52.2,52.8,53.1,2018-01-03 04:30:00
2018-01-03,10:00am,USD,ISM Manufacturing PMI,High,59.7,58.1,58.2,2018-01-03 10:00:00
2018-01-03,10:00am,USD,Construction Spending m/m,Non-economic,0.8%,0.6%,0.9%,2018-01-03 10:00:00
2018-01-03,10:00am,USD,ISM Manufacturing Prices,Non-economic,69.0,64.8,65.5,2018-01-03 10:00:00
2018-01-03,All Day,USD,Wards Total Vehicle Sales,Non-economic,17.8M,17.5M,17.4M,2018-01-03 00:00:00
2018-01-03,All Day,USD,Total Vehicle Sales,Non-economic,17.9M,17.5M,17.5M,2018-01-03 00:00:00
2018-01-03,2:00pm,USD,FOMC Meeting Minutes,High,,,,2018-01-03 14:00:00
2018-01-03,4:30pm,USD,API Weekly Statistical Bulletin,Non-economic,,,,2018-01-03 16:30:00
2018-01-03,5:30pm,AUD,AIG Services Index,Non-economic,52.0,,51.7,2018-01-03 17:30:00
2018-01-03,7:30pm,JPY,Final Manufacturing PMI,Non-economic,54.0,54.2,54.2,2018-01-03 19:30:00
2018-01-03,8:45pm,CNY,RatingDog Services PMI,Medium,53.9,51.8,51.9,2018-01-03 20:45:00
2018-01-04,1:57am,GBP,Nationwide HPI m/m,Non-economic,0.6%,0.1%,0.1%,2018-01-04 01:57:00
2018-01-04,3:15am,EUR,Spanish Services PMI,Non-economic,54.6,54.7,54.4,2018-01-04 03:15:00
2018-01-04,3:45am,EUR,Italian Services PMI,Non-economic,55.4,54.7,54.7,2018-01-04 03:45:00
2018-01-04,3:50am,EUR,French Final Services PMI,Non-economic,59.1,59.4,59.4,2018-01-04 03:50:00
2018-01-04,3:55am,EUR,German Final Services PMI,Non-economic,55.8,55.8,55.8,2018-01-04 03:55:00
2018-01-04,4:00am,EUR,Final Services PMI,Non-economic,56.6,56.5,56.5,2018-01-04 04:00:00
2018-01-04,4:30am,GBP,Final Services PMI,High,54.2,54.1,53.8,2018-01-04 04:30:00
2018-01-04,4:30am,GBP,Net Lending to Individuals m/m,Medium,4.9B,4.9B,4.7B,2018-01-04 04:30:00
2018-01-04,4:30am,GBP,M4 Money Supply m/m,Non-economic,0.1%,0.4%,0.6%,2018-01-04 04:30:00
2018-01-04,4:30am,GBP,Mortgage Approvals,Non-economic,65K,64K,65K,2018-01-04 04:30:00
2018-01-04,4:51am,EUR,Spanish 10-y Bond Auction,Non-economic,1.53|1.8,,1.49|2.0,2018-01-04 04:51:00
2018-01-04,5:01am,EUR,French 10-y Bond Auction,Non-economic,0.79|1.4,,0.36|1.9,2018-01-04 05:01:00
2018-01-04,7:30am,USD,Challenger Job Cuts y/y,Non-economic,-3.6%,,30.1%,2018-01-04 07:30:00
2018-01-04,8:15am,USD,ADP Non-Farm Employment Change,High,250K,191K,185K,2018-01-04 08:15:00
2018-01-04,8:30am,CAD,RMPI m/m,Medium,5.5%,4.0%,3.8%,2018-01-04 08:30:00
2018-01-04,8:30am,CAD,IPPI m/m,Non-economic,1.4%,0.8%,1.1%,2018-01-04 08:30:00
2018-01-04,8:30am,USD,Unemployment Claims,High,250K,241K,247K,2018-01-04 08:30:00
2018-01-04,9:45am,USD,Final Services PMI,Non-economic,53.7,52.4,52.4,2018-01-04 09:45:00
2018-01-04,10:30am,USD,Natural Gas Storage,Non-economic,-206B,-221B,-112B,2018-01-04 10:30:00
2018-01-04,11:00am,USD,Crude Oil Inventories,High,-7.4M,-5.2M,-4.6M,2018-01-04 11:00:00
2018-01-04,6:50pm,JPY,Monetary Base y/y,Non-economic,11.2%,13.1%,13.2%,2018-01-04 18:50:00
2018-01-04,7:01pm,GBP,BRC Shop Price Index y/y,Non-economic,-0.6%,,-0.1%,2018-01-04 19:01:00
2018-01-04,7:30pm,AUD,Goods Trade Balance,High,-0.63B,0.55B,-0.30B,2018-01-04 19:30:00
2018-01-05,2:00am,EUR,German Retail Sales m/m,Medium,2.3%,1.0%,-1.0%,2018-01-05 02:00:00
2018-01-05,2:45am,EUR,French Prelim CPI m/m,Non-economic,0.3%,0.3%,0.1%,2018-01-05 02:45:00
2018-01-05,4:10am,EUR,Retail PMI,Non-economic,53.0,,52.4,2018-01-05 04:10:00
2018-01-05,5:00am,EUR,CPI Flash Estimate y/y,High,1.4%,1.4%,1.5%,2018-01-05 05:00:00
2018-01-05,5:00am,EUR,Core CPI Flash Estimate y/y,Medium,0.9%,1.0%,0.9%,2018-01-05 05:00:00
2018-01-05,5:00am,EUR,PPI m/m,Non-economic,0.6%,0.3%,0.4%,2018-01-05 05:00:00
2018-01-05,5:00am,EUR,Italian Prelim CPI m/m,Non-economic,0.4%,0.2%,-0.2%,2018-01-05 05:00:00
2018-01-05,8:30am,CAD,Employment Change,High,78.6K,1.8K,79.5K,2018-01-05 08:30:00
2018-01-05,8:30am,CAD,Trade Balance,High,-2.5B,-1.2B,-1.6B,2018-01-05 08:30:00
2018-01-05,8:30am,CAD,Unemployment Rate,High,5.7%,6.0%,5.9%,2018-01-05 08:30:00
2018-01-05,8:30am,USD,Average Hourly Earnings m/m,High,0.3%,0.3%,0.1%,2018-01-05 08:30:00
2018-01-05,8:30am,USD,Non-Farm Employment Change,High,148K,190K,252K,2018-01-05 08:30:00
2018-01-05,8:30am,USD,Unemployment Rate,High,4.1%,4.1%,4.1%,2018-01-05 08:30:00
2018-01-05,8:30am,USD,Trade Balance,Non-economic,-50.5B,-49.7B,-48.9B,2018-01-05 08:30:00
2018-01-05,10:00am,CAD,Ivey PMI,Medium,60.4,62.2,63.0,2018-01-05 10:00:00
2018-01-05,10:00am,USD,ISM Services PMI,High,55.9,57.6,57.4,2018-01-05 10:00:00
2018-01-05,10:00am,USD,Factory Orders m/m,Non-economic,1.3%,1.1%,0.4%,2018-01-05 10:00:00
2018-01-05,12:30pm,USD,FOMC Member Mester Speaks,Medium,,,,2018-01-05 12:30:00
2018-01-06,10:15am,USD,FOMC Member Mester Speaks,Medium,,,,2018-01-06 10:15:00
2018-01-07,8:00am,USD,FOMC Member Williams Speaks,Medium,,,,2018-01-07 08:00:00
2018-01-07,5:30pm,AUD,AIG Construction Index,Non-economic,52.8,,57.5,2018-01-07 17:30:00
