Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2023-01-01,All Day,NZD,Bank Holiday,Low,,,,2023-01-01 00:00:00
2023-01-01,All Day,AUD,Bank Holiday,Low,,,,2023-01-01 00:00:00
2023-01-01,All Day,JPY,Bank Holiday,Low,,,,2023-01-01 00:00:00
2023-01-01,All Day,CNY,Bank Holiday,Low,,,,2023-01-01 00:00:00
2023-01-02,All Day,CHF,Bank Holiday,Low,,,,2023-01-02 00:00:00
2023-01-02,All Day,GBP,Bank Holiday,Low,,,,2023-01-02 00:00:00
2023-01-02,3:15am,EUR,Spanish Manufacturing PMI,Non-economic,46.4,45.9,45.7,2023-01-02 03:15:00
2023-01-02,3:45am,EUR,Italian Manufacturing PMI,Non-economic,48.5,48.5,48.4,2023-01-02 03:45:00
2023-01-02,3:50am,EUR,French Final Manufacturing PMI,Non-economic,49.2,48.9,48.9,2023-01-02 03:50:00
2023-01-02,3:55am,EUR,German Final Manufacturing PMI,Non-economic,47.1,47.4,47.4,2023-01-02 03:55:00
2023-01-02,4:00am,EUR,Final Manufacturing PMI,Non-economic,47.8,47.8,47.8,2023-01-02 04:00:00
2023-01-02,All Day,CAD,Bank Holiday,Low,,,,2023-01-02 00:00:00
2023-01-02,All Day,USD,Bank Holiday,Low,,,,2023-01-02 00:00:00
2023-01-02,All Day,NZD,Bank Holiday,Low,,,,2023-01-02 00:00:00
2023-01-02,All Day,JPY,Bank Holiday,Low,,,,2023-01-02 00:00:00
2023-01-02,8:45pm,CNY,RatingDog Manufacturing PMI,Non-economic,49.0,49.2,49.4,2023-01-02 20:45:00
2023-01-03,12:30am,AUD,Commodity Prices y/y,Non-economic,15.6%,,19.6%,2023-01-03 00:30:00
2023-01-03,All Day,EUR,German Prelim CPI m/m,Non-economic,-0.8%,-0.6%,-0.5%,2023-01-03 00:00:00
2023-01-03,3:00am,EUR,Spanish Unemployment Change,Non-economic,-43.7K,-40.3K,-33.5K,2023-01-03 03:00:00
2023-01-03,3:30am,CHF,Manufacturing PMI,Non-economic,54.1,53.0,53.9,2023-01-03 03:30:00
2023-01-03,3:55am,EUR,German Unemployment Change,Non-economic,-13K,15K,15K,2023-01-03 03:55:00
2023-01-03,4:30am,GBP,Final Manufacturing PMI,Non-economic,45.3,44.7,44.7,2023-01-03 04:30:00
2023-01-03,9:30am,CAD,Manufacturing PMI,Non-economic,49.2,,49.6,2023-01-03 09:30:00
2023-01-03,9:39am,NZD,GDT Price Index,Non-economic,-2.8%,,-3.8%,2023-01-03 09:39:00
2023-01-03,9:45am,USD,Final Manufacturing PMI,Non-economic,46.2,46.2,46.2,2023-01-03 09:45:00
2023-01-03,10:00am,USD,Construction Spending m/m,Non-economic,0.2%,-0.4%,-0.2%,2023-01-03 10:00:00
2023-01-03,7:01pm,GBP,BRC Shop Price Index y/y,Non-economic,7.3%,,7.4%,2023-01-03 19:01:00
2023-01-03,7:30pm,JPY,Final Manufacturing PMI,Non-economic,48.9,48.8,48.8,2023-01-03 19:30:00
2023-01-04,2:00am,EUR,German Import Prices m/m,Non-economic,-4.5%,-1.7%,-1.2%,2023-01-04 02:00:00
2023-01-04,2:30am,CHF,CPI m/m,High,-0.2%,-0.1%,0.0%,2023-01-04 02:30:00
2023-01-04,2:45am,EUR,French Prelim CPI m/m,Non-economic,-0.1%,0.5%,0.3%,2023-01-04 02:45:00
2023-01-04,3:15am,EUR,Spanish Services PMI,Non-economic,51.6,50.8,51.2,2023-01-04 03:15:00
2023-01-04,3:45am,EUR,Italian Services PMI,Non-economic,49.9,49.5,49.5,2023-01-04 03:45:00
2023-01-04,3:50am,EUR,French Final Services PMI,Non-economic,49.5,48.1,48.1,2023-01-04 03:50:00
2023-01-04,3:55am,EUR,German Final Services PMI,Non-economic,49.2,49.0,49.0,2023-01-04 03:55:00
2023-01-04,4:00am,EUR,Final Services PMI,Non-economic,49.8,49.1,49.1,2023-01-04 04:00:00
2023-01-04,4:30am,GBP,M4 Money Supply m/m,Non-economic,-1.6%,0.2%,0.1%,2023-01-04 04:30:00
2023-01-04,4:30am,GBP,Mortgage Approvals,Non-economic,46K,54K,58K,2023-01-04 04:30:00
2023-01-04,4:30am,GBP,Net Lending to Individuals m/m,Non-economic,5.9B,4.5B,4.3B,2023-01-04 04:30:00
2023-01-04,10:00am,USD,ISM Manufacturing PMI,High,48.4,48.5,49.0,2023-01-04 10:00:00
2023-01-04,10:00am,USD,JOLTS Job Openings,High,10.46M,10.04M,10.51M,2023-01-04 10:00:00
2023-01-04,10:00am,USD,ISM Manufacturing Prices,Non-economic,39.4,42.9,43.0,2023-01-04 10:00:00
2023-01-04,All Day,USD,Wards Total Vehicle Sales,Non-economic,13.3M,13.4M,14.1M,2023-01-04 00:00:00
2023-01-04,2:00pm,USD,FOMC Meeting Minutes,High,,,,2023-01-04 14:00:00
2023-01-04,4:30pm,USD,API Weekly Statistical Bulletin,Non-economic,,,,2023-01-04 16:30:00
2023-01-04,6:50pm,JPY,Monetary Base y/y,Non-economic,-6.1%,-6.1%,-6.4%,2023-01-04 18:50:00
2023-01-04,8:45pm,CNY,RatingDog Services PMI,Non-economic,48.0,46.8,46.7,2023-01-04 20:45:00
2023-01-04,10:35pm,JPY,10-y Bond Auction,Non-economic,0.50|4.8,,0.25|6.0,2023-01-04 22:35:00
2023-01-05,12:00am,JPY,Consumer Confidence,Non-economic,30.3,28.2,28.6,2023-01-05 00:00:00
2023-01-05,2:00am,EUR,German Trade Balance,Non-economic,10.8B,7.5B,6.8B,2023-01-05 02:00:00
2023-01-05,4:30am,GBP,Final Services PMI,Non-economic,49.9,50.0,50.0,2023-01-05 04:30:00
2023-01-05,4:58am,EUR,French 10-y Bond Auction,Non-economic,2.77|1.9,,2.19|2.2,2023-01-05 04:58:00
2023-01-05,5:00am,EUR,PPI m/m,Non-economic,-0.9%,-0.8%,-3.0%,2023-01-05 05:00:00
2023-01-05,5:00am,EUR,Italian Prelim CPI m/m,Non-economic,0.3%,0.2%,0.5%,2023-01-05 05:00:00
2023-01-05,7:30am,USD,Challenger Job Cuts y/y,Non-economic,129.1%,,416.5%,2023-01-05 07:30:00
2023-01-05,8:15am,USD,ADP Non-Farm Employment Change,High,235K,152K,182K,2023-01-05 08:15:00
2023-01-05,8:30am,CAD,Trade Balance,Non-economic,0.0B,1.3B,0.1B,2023-01-05 08:30:00
2023-01-05,8:30am,USD,Unemployment Claims,Medium,204K,230K,223K,2023-01-05 08:30:00
2023-01-05,8:30am,USD,Trade Balance,Non-economic,-61.5B,-64.2B,-77.8B,2023-01-05 08:30:00
2023-01-05,9:45am,USD,Final Services PMI,Non-economic,44.7,44.4,44.4,2023-01-05 09:45:00
2023-01-05,10:30am,USD,Natural Gas Storage,Non-economic,-221B,-230B,-213B,2023-01-05 10:30:00
2023-01-05,11:00am,USD,Crude Oil Inventories,Non-economic,1.7M,1.5M,0.7M,2023-01-05 11:00:00
2023-01-05,6:30pm,JPY,Average Cash Earnings y/y,Non-economic,0.5%,1.7%,1.4%,2023-01-05 18:30:00
2023-01-06,2:00am,EUR,German Factory Orders m/m,Non-economic,-5.3%,-0.5%,0.6%,2023-01-06 02:00:00
2023-01-06,2:00am,EUR,German Retail Sales m/m,Non-economic,1.1%,1.5%,-2.8%,2023-01-06 02:00:00
2023-01-06,2:00am,GBP,Halifax HPI m/m,Non-economic,-1.5%,-0.6%,-2.4%,2023-01-06 02:00:00
2023-01-06,All Day,EUR,Italian Bank Holiday,Low,,,,2023-01-06 00:00:00
2023-01-06,2:36am,CHF,Retail Sales y/y,Non-economic,-1.3%,-1.0%,-2.6%,2023-01-06 02:36:00
2023-01-06,2:45am,EUR,French Consumer Spending m/m,Non-economic,0.5%,1.0%,-2.7%,2023-01-06 02:45:00
2023-01-06,4:30am,GBP,Construction PMI,Non-economic,48.8,50.6,50.4,2023-01-06 04:30:00
2023-01-06,5:00am,EUR,Core CPI Flash Estimate y/y,Medium,5.2%,5.1%,5.0%,2023-01-06 05:00:00
2023-01-06,5:00am,EUR,CPI Flash Estimate y/y,Medium,9.2%,9.6%,10.1%,2023-01-06 05:00:00
2023-01-06,5:00am,EUR,Retail Sales m/m,Non-economic,0.8%,0.5%,-1.5%,2023-01-06 05:00:00
2023-01-06,8:30am,CAD,Employment Change,High,104.0K,5.5K,10.1K,2023-01-06 08:30:00
2023-01-06,8:30am,CAD,Unemployment Rate,High,5.0%,5.2%,5.1%,2023-01-06 08:30:00
2023-01-06,8:30am,USD,Average Hourly Earnings m/m,High,0.3%,0.4%,0.4%,2023-01-06 08:30:00
2023-01-06,8:30am,USD,Non-Farm Employment Change,High,223K,200K,256K,2023-01-06 08:30:00
2023-01-06,8:30am,USD,Unemployment Rate,High,3.5%,3.7%,3.7%,2023-01-06 08:30:00
2023-01-06,10:00am,CAD,Ivey PMI,Medium,33.4,51.0,51.4,2023-01-06 10:00:00
2023-01-06,10:00am,USD,ISM Services PMI,High,49.6,55.0,56.5,2023-01-06 10:00:00
2023-01-06,10:00am,USD,Factory Orders m/m,Non-economic,-1.8%,-0.9%,0.4%,2023-01-06 10:00:00
2023-01-06,11:15am,USD,FOMC Member Cook Speaks,Non-economic,,,,2023-01-06 11:15:00
2023-01-07,11:15am,GBP,MPC Member Mann Speaks,Non-economic,,,,2023-01-07 11:15:00
2023-01-08,8:00am,GBP,MPC Member Pill Speaks,Non-economic,,,,2023-01-08 08:00:00
2023-01-08,All Day,JPY,Bank Holiday,Low,,,,2023-01-08 00:00:00
2023-01-08,7:30pm,AUD,Building Approvals m/m,Non-economic,-9.0%,0.1%,-5.6%,2023-01-08 19:30:00
2023-01-09,1:45am,CHF,Unemployment Rate,Non-economic,1.9%,2.1%,2.0%,2023-01-09 01:45:00
2023-01-09,2:00am,EUR,German Industrial Production m/m,Non-economic,0.2%,0.2%,-0.4%,2023-01-09 02:00:00
2023-01-09,2:45am,EUR,French Trade Balance,Non-economic,-13.8B,-11.3B,-11.6B,2023-01-09 02:45:00
2023-01-09,3:00am,CHF,Foreign Currency Reserves,Non-economic,784B,,790B,2023-01-09 03:00:00
2023-01-09,4:00am,EUR,Italian Monthly Unemployment Rate,Non-economic,7.8%,7.8%,7.9%,2023-01-09 04:00:00
2023-01-09,4:30am,EUR,Sentix Investor Confidence,Non-economic,-17.5,-18.1,-21.0,2023-01-09 04:30:00
2023-01-09,5:00am,EUR,Unemployment Rate,Non-economic,6.5%,6.5%,6.5%,2023-01-09 05:00:00
2023-01-09,8:30am,CAD,Building Permits m/m,Non-economic,14.1%,0.4%,-5.3%,2023-01-09 08:30:00
2023-01-09,10:30am,GBP,MPC Member Pill Speaks,Non-economic,,,,2023-01-09 10:30:00
2023-01-09,3:00pm,USD,Consumer Credit m/m,Non-economic,28.0B,25.0B,29.1B,2023-01-09 15:00:00
2023-01-09,6:30pm,JPY,Household Spending y/y,Non-economic,-1.2%,0.6%,1.2%,2023-01-09 18:30:00
2023-01-09,6:30pm,JPY,Tokyo Core CPI y/y,Non-economic,4.0%,3.8%,3.6%,2023-01-09 18:30:00
2023-01-09,7:01pm,GBP,BRC Retail Sales Monitor y/y,Non-economic,6.5%,2.4%,4.1%,2023-01-09 19:01:00
2023-01-09,7:30pm,AUD,Household Spending m/m,Non-economic,6.3%,,0.2%,2023-01-09 19:30:00
2023-01-10,2:45am,EUR,French Industrial Production m/m,Non-economic,2.0%,0.9%,-2.5%,2023-01-10 02:45:00
