Date,Time,Currency,Event,Impact,Actual,Forecast,Previous,Combined DateTime
2021-01-01,All Day,NZD,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,AUD,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,JPY,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,CNY,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,CHF,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,EUR,French Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,EUR,German Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,EUR,Italian Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,GBP,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,CAD,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-01,All Day,USD,Bank Holiday,Low,,,,2021-01-01 00:00:00
2021-01-04,All Day,NZD,Bank Holiday,Low,,,,2021-01-04 00:00:00
2021-01-04,8:30am,JPY,Final Manufacturing PMI,Non-economic,50.0,49.7,49.7,2021-01-04 08:30:00
2021-01-04,9:45am,CNY,Caixin Manufacturing PMI,Non-economic,53.0,54.7,54.9,2021-01-04 09:45:00
2021-01-04,1:30pm,AUD,Commodity Prices y/y,Non-economic,11.7%,,2.5%,2021-01-04 13:30:00
2021-01-04,4:15pm,EUR,Spanish Manufacturing PMI,Non-economic,51.0,52.6,49.8,2021-01-04 16:15:00
2021-01-04,4:30pm,CHF,Manufacturing PMI,Non-economic,58.0,54.4,55.2,2021-01-04 16:30:00
2021-01-04,4:45pm,EUR,Italian Manufacturing PMI,Non-economic,52.8,53.5,51.5,2021-01-04 16:45:00
2021-01-04,4:50pm,EUR,French Final Manufacturing PMI,Non-economic,51.1,51.1,51.1,2021-01-04 16:50:00
2021-01-04,4:55pm,EUR,German Final Manufacturing PMI,Non-economic,58.3,58.6,58.6,2021-01-04 16:55:00
2021-01-04,5:00pm,EUR,Final Manufacturing PMI,Non-economic,55.2,55.5,55.5,2021-01-04 17:00:00
2021-01-04,5:30pm,GBP,Final Manufacturing PMI,Medium,57.5,57.3,57.3,2021-01-04 17:30:00
2021-01-04,5:30pm,GBP,M4 Money Supply m/m,Non-economic,0.8%,0.4%,0.7%,2021-01-04 17:30:00
2021-01-04,5:30pm,GBP,Mortgage Approvals,Non-economic,105K,82K,98K,2021-01-04 17:30:00
2021-01-04,5:30pm,GBP,Net Lending to Individuals m/m,Non-economic,4.1B,3.0B,3.8B,2021-01-04 17:30:00
2021-01-04,All Day,All,OPEC-JMMC Meetings,High,,,,2021-01-04 00:00:00
2021-01-04,10:30pm,CAD,Manufacturing PMI,Medium,57.9,,55.8,2021-01-04 22:30:00
2021-01-04,10:45pm,USD,Final Manufacturing PMI,Non-economic,57.1,56.3,56.5,2021-01-04 22:45:00
2021-01-04,11:00pm,USD,Construction Spending m/m,Non-economic,0.9%,1.1%,1.6%,2021-01-04 23:00:00
2021-01-04,11:00pm,USD,FOMC Member Bostic Speaks,Non-economic,,,,2021-01-04 23:00:00
2021-01-04,11:00pm,USD,FOMC Member Evans Speaks,Non-economic,,,,2021-01-04 23:00:00
2021-01-05,7:50am,JPY,Monetary Base y/y,Non-economic,18.3%,18.0%,16.5%,2021-01-05 07:50:00
2021-01-05,8:30am,AUD,ANZ Job Advertisements m/m,Non-economic,9.2%,,13.5%,2021-01-05 08:30:00
2021-01-05,3:00pm,EUR,German Retail Sales m/m,Non-economic,1.9%,-2.0%,2.6%,2021-01-05 15:00:00
2021-01-05,3:30pm,CHF,CPI m/m,Non-economic,-0.1%,0.0%,-0.2%,2021-01-05 15:30:00
2021-01-05,4:00pm,EUR,Spanish Unemployment Change,Non-economic,36.8K,30.5K,25.3K,2021-01-05 16:00:00
2021-01-05,4:55pm,EUR,German Unemployment Change,Non-economic,-37K,10K,-40K,2021-01-05 16:55:00
2021-01-05,5:00pm,EUR,M3 Money Supply y/y,Non-economic,11.0%,10.6%,10.5%,2021-01-05 17:00:00
2021-01-05,5:00pm,EUR,Private Loans y/y,Non-economic,3.1%,3.3%,3.2%,2021-01-05 17:00:00
2021-01-05,All Day,All,OPEC-JMMC Meetings,High,,,,2021-01-05 00:00:00
2021-01-05,9:30pm,CAD,IPPI m/m,Non-economic,-0.6%,-0.2%,-0.4%,2021-01-05 21:30:00
2021-01-05,9:30pm,CAD,RMPI m/m,Non-economic,0.6%,0.9%,0.5%,2021-01-05 21:30:00
2021-01-05,10:53pm,NZD,GDT Price Index,Non-economic,3.9%,,1.3%,2021-01-05 22:53:00
2021-01-05,11:00pm,USD,ISM Manufacturing PMI,Medium,60.7,56.6,57.5,2021-01-05 23:00:00
2021-01-05,11:00pm,USD,ISM Manufacturing Prices,Non-economic,77.6,66.0,65.4,2021-01-05 23:00:00
2021-01-05,All Day,USD,Wards Total Vehicle Sales,Non-economic,16.3M,15.8M,15.6M,2021-01-05 00:00:00
2021-01-06,4:45am,USD,FOMC Member Evans Speaks,Non-economic,,,,2021-01-06 04:45:00
2021-01-06,8:01am,GBP,BRC Shop Price Index y/y,Non-economic,-1.8%,,-1.8%,2021-01-06 08:01:00
2021-01-06,9:45am,CNY,Caixin Services PMI,Non-economic,56.3,58.1,57.8,2021-01-06 09:45:00
2021-01-06,11:35am,JPY,10-y Bond Auction,Non-economic,0.02|3.4,,0.02|3.4,2021-01-06 11:35:00
2021-01-06,1:00pm,JPY,Consumer Confidence,Non-economic,31.8,32.6,33.7,2021-01-06 13:00:00
2021-01-06,All Day,EUR,Italian Bank Holiday,Low,,,,2021-01-06 00:00:00
2021-01-06,All Day,EUR,German Prelim CPI m/m,Non-economic,0.5%,0.6%,-0.8%,2021-01-06 00:00:00
2021-01-06,3:45pm,EUR,French Prelim CPI m/m,Non-economic,0.2%,0.4%,0.2%,2021-01-06 15:45:00
2021-01-06,4:15pm,EUR,Spanish Services PMI,Non-economic,48.0,44.5,39.5,2021-01-06 16:15:00
2021-01-06,4:45pm,EUR,Italian Services PMI,Non-economic,39.7,45.0,39.4,2021-01-06 16:45:00
2021-01-06,4:50pm,EUR,French Final Services PMI,Non-economic,49.1,49.2,49.2,2021-01-06 16:50:00
2021-01-06,4:55pm,EUR,German Final Services PMI,Non-economic,47.0,47.7,47.7,2021-01-06 16:55:00
2021-01-06,5:00pm,EUR,Final Services PMI,Non-economic,46.4,47.4,47.3,2021-01-06 17:00:00
2021-01-06,5:30pm,GBP,Final Services PMI,Non-economic,49.4,49.9,49.9,2021-01-06 17:30:00
2021-01-06,6:00pm,EUR,PPI m/m,Non-economic,0.4%,0.2%,0.4%,2021-01-06 18:00:00
2021-01-06,6:05pm,GBP,10-y Bond Auction,Non-economic,0.33|2.9,,0.43|2.7,2021-01-06 18:05:00
2021-01-06,6:36pm,EUR,German 10-y Bond Auction,Non-economic,-0.52|1.6,,-0.57|2.0,2021-01-06 18:36:00
2021-01-06,9:15pm,USD,ADP Non-Farm Employment Change,Medium,-123K,60K,304K,2021-01-06 21:15:00
2021-01-06,10:30pm,GBP,BOE Gov Bailey Speaks,High,,,,2021-01-06 22:30:00
2021-01-06,10:45pm,USD,Final Services PMI,Non-economic,54.8,55.2,55.3,2021-01-06 22:45:00
2021-01-06,11:00pm,USD,Factory Orders m/m,Non-economic,1.0%,0.7%,1.3%,2021-01-06 23:00:00
2021-01-06,11:30pm,USD,Crude Oil Inventories,Non-economic,-8.0M,-2.8M,-6.1M,2021-01-06 23:30:00
2021-01-07,3:00am,USD,FOMC Meeting Minutes,High,,,,2021-01-07 03:00:00
2021-01-07,7:30am,JPY,Average Cash Earnings y/y,Non-economic,-2.2%,-0.9%,-0.7%,2021-01-07 07:30:00
2021-01-07,8:30am,AUD,Building Approvals m/m,Non-economic,2.6%,1.9%,3.3%,2021-01-07 08:30:00
2021-01-07,8:30am,AUD,Goods Trade Balance,Non-economic,5.02B,6.45B,6.58B,2021-01-07 08:30:00
2021-01-07,3:00pm,EUR,German Factory Orders m/m,Non-economic,2.3%,-0.6%,3.3%,2021-01-07 15:00:00
2021-01-07,3:30pm,CHF,Retail Sales y/y,Non-economic,1.7%,3.5%,4.3%,2021-01-07 15:30:00
2021-01-07,5:00pm,EUR,ECB Economic Bulletin,Non-economic,,,,2021-01-07 17:00:00
2021-01-07,5:30pm,GBP,Construction PMI,Non-economic,54.6,54.6,54.7,2021-01-07 17:30:00
2021-01-07,5:32pm,GBP,Housing Equity Withdrawal q/q,Non-economic,-7.0B,-7.0B,-9.0B,2021-01-07 17:32:00
2021-01-07,6:00pm,EUR,Core CPI Flash Estimate y/y,Non-economic,0.2%,0.2%,0.2%,2021-01-07 18:00:00
2021-01-07,6:00pm,EUR,CPI Flash Estimate y/y,Non-economic,-0.3%,-0.2%,-0.3%,2021-01-07 18:00:00
2021-01-07,6:00pm,EUR,Italian Prelim CPI m/m,Non-economic,0.3%,0.2%,-0.1%,2021-01-07 18:00:00
2021-01-07,6:00pm,EUR,Retail Sales m/m,Non-economic,-6.1%,-3.4%,1.4%,2021-01-07 18:00:00
2021-01-07,6:04pm,EUR,French 10-y Bond Auction,Non-economic,-0.33|1.9,,-0.26|2.1,2021-01-07 18:04:00
2021-01-07,8:30pm,USD,Challenger Job Cuts y/y,Non-economic,134.5%,,45.4%,2021-01-07 20:30:00
2021-01-07,9:30pm,CAD,Trade Balance,Non-economic,-3.3B,-3.6B,-3.7B,2021-01-07 21:30:00
2021-01-07,9:30pm,USD,Unemployment Claims,Medium,787K,798K,790K,2021-01-07 21:30:00
2021-01-07,9:30pm,USD,Trade Balance,Non-economic,-68.1B,-66.7B,-63.1B,2021-01-07 21:30:00
2021-01-07,11:00pm,CAD,Ivey PMI,Medium,46.7,53.1,52.7,2021-01-07 23:00:00
2021-01-07,11:00pm,USD,ISM Services PMI,Medium,57.2,54.5,55.9,2021-01-07 23:00:00
2021-01-07,11:30pm,USD,Natural Gas Storage,Non-economic,-130B,-142B,-114B,2021-01-07 23:30:00
2021-01-08,2:00am,USD,FOMC Member Evans Speaks,Non-economic,,,,2021-01-08 02:00:00
2021-01-08,7:30am,JPY,Household Spending y/y,Non-economic,1.1%,-1.0%,1.9%,2021-01-08 07:30:00
2021-01-08,11:35am,JPY,30-y Bond Auction,Non-economic,0.65|3.0,,0.65|3.5,2021-01-08 11:35:00
2021-01-08,1:00pm,JPY,Leading Indicators,Non-economic,96.6%,96.6%,94.3%,2021-01-08 13:00:00
2021-01-08,2:45pm,CHF,Unemployment Rate,Non-economic,3.4%,3.4%,3.4%,2021-01-08 14:45:00
2021-01-08,3:00pm,EUR,German Industrial Production m/m,Non-economic,0.9%,0.7%,3.4%,2021-01-08 15:00:00
2021-01-08,3:00pm,EUR,German Trade Balance,Non-economic,16.4B,18.5B,18.2B,2021-01-08 15:00:00
2021-01-08,3:45pm,EUR,French Consumer Spending m/m,Non-economic,-18.9%,-15.8%,3.9%,2021-01-08 15:45:00
2021-01-08,3:45pm,EUR,French Industrial Production m/m,Non-economic,-0.9%,-1.0%,1.9%,2021-01-08 15:45:00
2021-01-08,3:45pm,EUR,French Trade Balance,Non-economic,-3.6B,-4.9B,-4.6B,2021-01-08 15:45:00
